,review,rating
10,very worst hotel that we experienced from our first minute we already experienced the worst things we are family i have son that has a stroller the elevator is too small nobody come to help us every morning the room attendant knocking on the door and urgently open it without our permition we stayed for 5 nights and they cleaned only one time our room the main door cannot lock obviously you will not feel safe the toilet bowl is dirty the bathtub has moss and the exhaust fan is too dirty full of dust and cobweb about the breakfastwe went only once because were not comfortable and theres no much choices to eat my husband told to the receptionist our concern no bodygive action,1/5
11,pros very friendly staff located in a suitable walking distance to al major sightings ie ladadika white tower agios dimitrios church clean hotelneutral area of location is a bit dodgy out of dated decoration inside the room breakfast is controlled by hotel personel which creates uncomfort during servingnegative low pricevalue ratio very old elevators which seems unproperly maintained severe side moving and noise during operation check out hours uncomfortable 1100 am leaking water inside the bathroom very noisy room due to the traffic of the main avenue parking of the hotel costs 10 euros per day,3/5
12,its been years since i visit it but i can still taste its tasty breakfast ,4/5
13,good position big hotel majority of rooms has a balcon the wprsr wifi ever even ny night almost like you cannot count on itstill without cable or satelite tveven not digitaljust a few greek channels the food is pretty good including choice professional reception and other stafrooms look solide,3/5
14,huge hotel ptofessional receptionists if the room is free and you are a loyal guest you can get early check in and late check out the rooms are refreshed modern brealfast very good but not selfself service no safe box and kettle in the room but there is on the reception,3/5
15,the worst hotel that i have stayedthe noise unbearable as teenagers were staying at the whole floor and the room walls thin as paperi complained to the staff but they did nothing about itthe rooms are so 80s i wouldnt give even a single star for this hotelworst experience ever,1/5
16,room is coldwindows dont close well,1/5
17,a small hotel on the main drag through thessaloniki not in the centre but not too far to walk to get to the crowds on the plus sidestaff are friendlylocationcost  ,2/5
18,the hotel is located very close to the city center very convenient for business trips the personnel is very friendly and accommodating the rooms are decent and the price is fair great for a relaxing weekend in thessaloniki,5/5
19,we slept one night during our journey to athensthe hotel is on the main road just 10 minutes away by foot from the main squareclean rooms helpful stuff garage for car park but breakfast is not selfservice you first need to point you food and then stuff put it on the plate and give it to you it was a big queue,3/5
20,decent room and bathroom breakfast was ok the hotel is a 3star bed  breakfast venue it doesnt serve lunch and dinner the location is on a main avenue but its quite far from interesting sights and food facilities except for asian fast food at hand and higher ranking hotels across the street,4/5
21,i dont think this hotel deserves 3 stars breakfast is quite poor that includes their cofee and their orange juice the first night they did not make the room i do recommend to choose an alternative option if possible,3/5
22,my worst experience ever i could not rest all night from the noises when we did complain in person to guest relation at 6 oclock in the morning about it the answer was why didnt you say about it to change your room notice that we took their last room the night before with their request to payment in frontwe did pay for one day 71 euro only to get more tired that we came we paid extra 10 euro also as we needed the hotel parking from basement,1/5
23,it is a cheap hotel rooms are modest but they have all you need the hotel is in the center but you have to walk 15 minuters to aristotel square they dont clean the rooms while you stay but they are cheap and elevations are working,2/5
24,the location is great as it is in the heart of the town but thats about it the bathroom was extremely smal not very maintainedl and very old the bathrooms ventilation very loud there is no elevator from the parking to the lobby you cant only use the very narrow staircase which doesnt have railing so if you are carrying language its very dangerous the people are polite this does not make up for the state of the hotel additionally the elevators are tiny very old and need at least a fresh coat of paint the lobby is the only thing that seems clean and renovated my room was on the 7th floor but with no view and with a balcony so small and narrow that the only place to sit was the airconditionings outside unit the rooms also were said to have tvs but it was no bigger than 2427 inches and the quality awful i would never recommend this to an enemy let alone a friend all in all a very bad experience which i will never go through again,1/5
25,nice place cody rooms it is not new the place but it looks good breakfast although it has many things like eggs cake sausages and a lot more except omelette everything else taste like plastic i would prefer less options but more taste ,3/5
26,the price i paid for this hotel was higher than the things that this hotel offered to me also they offered very few choices for breakfast and i didnt like it at alli usually couldnt connect to wifi at all but even when it did it was very slow and i couldnt use it at all,3/5
27,yeah the wifi wasnt working when we went to the reception for this problem they said it was because of our telephones the bathroom wasnt new and it wasnt very good the location wasnt very good either also the sink was dripping not a pleasant experience unfortunately,2/5
28,a little bit old school hotel but 3 stars in that price is fair offer air condition works well and very silent during a night breakfast nothing special good location close the centre,4/5
29,the room was nice cozy and suitable for a short trip however the internet quality is poor and very difficult to watch a movie or work online probably should improve on that,3/5
30,one of the most disappointing hotels ever very expensive and the room was very old remembering the 80s the parking is very small crowded and costs 10 euros per day the only good thing was the breakfast that was the typical tasty greek food,2/5
31,hotel is on great place in city centerwe had room near main road and it was noisy over the nightrooms are clean and and service was perfectgreat choice for quick stop,5/5
32,we stayed here on may 1415 in room 402 its a room for 4 people but i was only with my wife when we entered the room we realised there is a door that leads to another apartment in that apartment you could hear clear conversations so 0 privacy but the worst came during the night in that room someone was snoring like a chainsaw and we couldnt fall asleep because of that when we asked the reception they tried calling the room but nobody picked up the phone so they shrugged and said oh wellwe paid 110 euros for this room,1/5
33,a descent clean hotel with reasonable prices near railway station the offered breakfast is very rich the hotel has been renovated and it has led tv the rooms are quite spacious a fair hotel,4/5
34,the personnel is really kind and helpful and the location is great right in the city centereverybody in the hotel is going out of their way to accommodate guests needs highly appreciatedhighly recommended recommended hotel for business travel or leisure,5/5
35,it has a central position has paid parking lot 10day my room was ok i was at the 7 floor big clean with large great balcony and a great view but the others from the group has many many complains about everything the room to small the bathroom the sheets i thing i was lucky then with my room i do not recomand the restaurant but for the included breakfast was ok everything it is pretty old honestly i will not force my luck and come back here so its a no for me,3/5
36,the rooms are dated with stains holes in the rugs etc the bathrooms are kinda small and the area is not the nicest in thessaloniki but if you arrive by train the location is cool also the wifi is not really working well jumping on and off all the time breakfast is big but there are not enough fruits and vegetables to select from and also no black  wholegrain  healthier bread options on the other hand the conference rooms are great if you are in thessaloniki for business bottom line  a lot could  should be improved,2/5
37,just a fp accomodation its in the city center a little old but clean rooms and the bathroom the breakfast was ok,4/5
38,good clean and comfortable much better than paying a higher price for nearby hotels who offer the same quality would recommend this hotel fairly central ladadika are 1015 mins walking sea front in 20 mins all close by,4/5
39,the hotel was pretty good for the price conveniently located close to the train station breakfast was not bad at all the bed was comfortable but the pillows were too hard not a bad experience at all,3/5
40,great place to stay the rooms are modern and clean the breakfast is great you are close to shopping the staff was very pleasant and polite i would stay there again if i am in the area again,5/5
41,my jacket got stolen here i asked for the footage to find out who stole it they said i will get the footage the day after the day after they said the cameras dont work it was my favorite jacket plus at that moment it was less than 10 degrees celsius in the city,1/5
42,the pillows were dirty that we had to put a blanket over it to sleep the stuff was creepy sitting in the hallway asking every person why they are out of their rooms and lastly the facilities are very old,1/5
43,probably the worst hotel in thessaloniki if your are waiting for hotel like hundreds of internet picture of the hotel you will be very upset it is more likely hostel more than hotel room are very old dirty and has lots of broken furnifures,1/5
44,very clean with extra measures for covid that feels very safe my room was very nice renovated friendly customer service and 300m away from the railway definitely recommended,5/5
45,very clean kind and helpful staff excellent breakfast and free wifi everywhere a bit slow but good very very good over all small elevator for 3 people though,4/5
46,very thin walls a little hard to sleep at night but cozy and for a teen the prices are reasonable food is good and staff is okay,3/5
47,a room with a modern design and clean the shower is clean and spacious i enjoyed staying there,5/5
48,gold place elevator is small none of bus parking but all worker reception and other good ser you again vergina,5/5
49,very good for transit they have their own parking it is clean good breakfast i recommend this hotel,5/5
50,loveliest staff ever  rooms and hotel in general is old but super clean and well maintained,4/5
51,ask for the renovated roomsthey are greatthe breakfast there is excellentnot far from the city center you can go in the most places on foot,5/5
52,i think for the price its a really good hotel brand new bathrooms and clean breakfast is good and its close to the center and port,5/5
53,excellent service and we enjoyed our stay great breakfast gentleman at the front desk was extremely helpful,5/5
54,the room was ok  but the man issue was the elevator which you have to wait for a long time to use it  the breakfast was good  the internet was fair,2/5
55,all worth and excellent valueformoney stay personnel very competent helpful polite and friendly,5/5
56,good people work in there very good ambient rooms are great for hotel on that level but food is not very good,4/5
57,it was a great place really close to all the atractions in the city centre,4/5
58,lazy and small lift five chanel tv old not much clean noisy outside and from inside not worthy for money,2/5
59,good price good service clean and easy in and out of the city not to far from the center stuff were great,5/5
60,ok hotel clean room very basic and needs an update breakfast a little boring after a few days,3/5
61,the price from the hotel is to high and the quality ist very bad i think they not invest in this hotel since 1960,1/5
62,old furniture noisy airconditioning poor internet big rooms but very small bathrooms,1/5
63,poor lifts outdated rooms but clean and neat averagegood breakfast,3/5
64,super kind and very helpful about everything they also used to host needing refugees good people,5/5
65,pretty bad sockets the plug plays in them causing damage to it and the phones charging port and these aspects are unforgivable,1/5
66,random stains everywhere on the carpet wall paper ripping ugly old furniture at least it had a fridge,2/5
67,nice hotel clean rooms would choose it again when i visit thessaloniki,5/5
68,very polite staff old hotel with old furniture especially beds could be much better,3/5
69,great hotel everyone is very friendly the rooms are nice and clean,5/5
70,big rooms nice breakfast and good location great for its price,5/5
71,the hotel was ok a plus was that ot has a parking lot even if you pay for it,4/5
72,was neat and clean a bit noisy since people come in all time good breakfast,4/5
73,toilet and shower barely working saw one cockroach even very poor breakfast,1/5
74,ok for 3 star city hotel great breakfast pleasant staff,5/5
75,when i was un this hotel my jacket was stolen in the lobby and eveb they placed cameras the cameras dont workthats at least what they said,1/5
76,rooms are clean ac works very well thumbs up ,5/5
77,nice hotel and good location  i stayed there 2 times and wish to stay again,5/5
78,great buffet breakfast and dinner nice comfortable rooms,5/5
79,if you have some dignity you will not return to this hotel,3/5
80,for short staysmall double roomsmall good bathroom,3/5
81,reasonable hotel a bit far from the city center,3/5
82,it is a very clean hotel but its location is not the best in order to walk alone during the night,4/5
83,cheap but not so clean old building the bathroom needs updating,3/5
84,good breakfast but overall ok,3/5
85,good for travelers interesting map hang on the wall,5/5
86,small room small bed smallest tv that i ever seen,2/5
87,its a decent hotel with good room service,3/5
88,clean but far away from centre not excited with breakfast,2/5
89,worst night in a whole trip awful management very noisy,2/5
90,very nice service acceptable price good location,5/5
91,great service and very nice breakfast,5/5
92,the best choice for the travellerclean and cosy,5/5
93,good hotel for one night stay,4/5
94,sympathic hostel near railway station,4/5
95,i have never seen tv like here it is the smallest i have ever seen elevator is small too you should go 15 minutes before you planed because elevator can bring one big or two very small person and you must wait and lost your time beds are small for normal people it is good for children bathroom is good and clean telefon does not working,2/5
96,great food rooms too old,3/5
97,very nice place with excelent breakfast,5/5
98,old and not inviting but price is ok,3/5
99,good location nice staff,5/5
100,nothing special but ok prices and pretty friendly,3/5
101,rooms are very bad breakfast too,1/5
102,standart hotel good location,3/5
103,very clean and realy nice staff,5/5
104,nice rooms good location,3/5
105,good locationgood coffegood palace,5/5
106,meh looks much better on pictures,2/5
107,too expensive for facilities provided,2/5
108,good hotel in the near center,4/5
109,spacious good breakfast,4/5
110,very nice,5/5
111,very bad reception behaviorvery very bad,1/5
112,good one,4/5
113,ok,3/5
114,hotel ok,4/5
115,ok,5/5
116,nice and cozy,4/5
117,nice and cosy,4/5
118,good one economic,3/5
119,cheap,4/5
120,not much to say,2/5
121,good kitchen,4/5
122,ok,3/5
123,great location,5/5
124,its very nice,4/5
125,bad rooms,1/5
126,okhotel,4/5
127,good hotel,4/5
128,super,5/5
129,ok,4/5
130,relaxing,5/5
131,nice,4/5
132,good,4/5
133,good location,5/5
134,super,5/5
135,perfect place,5/5
136,its so bad,1/5
137,work in progress,3/5
138,scope for improvement,2/5
139,awful service,1/5
140,central ,3/5
141, ive never written a bad review before but now i have to its a real shame that we had to spend a few days in this socalled hotelat the beginning of our stay we were greeted by frowning staff at the reception neither good morning nor goodbye they explain with their hands where the garage is and look at the phone while we try to ask them anything the rooms are full of dust cobwebs mold in every corner unventilated and terribly dirtyrestaurant and bar do not exist breakfast is served by frowning staff who roll their eyes and when asked if there is more salad or bread they just wave their hands they do not replenish the plateaus with food even in the biggest crowd total disorganization only the location is good but the small and narrow parking lot and the inaccessible access to it spoil any impression of this hotel it is only good for avoiding,1/5
142, the hotel has seen better days i traveled alone single room small but comfortable the furniture has signs of wear during use the bed is comfortable hard as i like it the pillow is too soft typical for hotels the bathroom is small but big enough to do everything it is intended for clean and tidy with a worn bathtub and door on the cabin the terrace is small and most of it is occupied by the air conditioner the view is not great there is another building across the street but because of its 7 floors you can see the sea and the busy port,4/5
143, the only positive thing about this hotel was the friendly staff the room was unacceptable in need of renovation the photos have nothing to do with reality the toilet was dirty the cistern ancient you were afraid to step on it because it made noise and the pipes rattled we could also hear the cisterns from the adjacent rooms due to the poor sound insulation the curtains and walls with stains and half the lights burned out at least put pictures that represent reality,1/5
144, the hotel preferred by tours can be crowdedthere are 3 elevators in total but they can only fit 2 people the lower floor your room is the more advantageous it is i stayed for 1 night in general it is an old hotel the beds were comfortable the room size was sufficient family room with 4 beds the air conditioner was old and not cleaned i think the breakfast was nice and varied but if you are going to stay for a long time look at alternative hotels it is ideal for 12 days wifi is slow constantly disconnects and insufficient,3/5
145, unfortunately my stay at your hotel turned out to be extremely disappointing the room was in a shabby state with obvious signs of noncleanliness such as hair and stains the bathroom was equally dirty while the windows did not close properly allowing the cold to seep into the room despite the fact that the heating was not working properly the absence of even a bottle of water in the room was something unheard of for mewhen i informed the manager about the problems i was having unfortunately my complaint was ignored with the promise that it would be resolved the next day due to lack of available roomsit is unacceptable for an accommodation to offer such services and charge a corresponding amounti would like to point out that mr kostas from the reception was the only one who listened to me attentively and with understanding his professional demeanor is a stark contrast to my overall experience,2/5
146, the hotel is close to the center 1520 minutes walking distance street side is very noisy windows dont close properly breakfast is sufficient price quality ratio is still high they charged 10 euros for parking for 24 hours but parking on the side street is 2 euros for 24 hours you have to pass in front of it to enter the hotel car park i recommend you to leave the car in another car parkthe rooms and cleanliness are good but the decor is old and the rooms dont have that cathil etc,3/5
147, we had a very pleasant stay at this hotel which exceeded our expectations its location is excellent within walking distance of important points of thessaloniki the staff were friendly and helpful with our every question making us feel really welcomealthough i had read some reviews that mentioned cleanliness and noise issues our experience was completely different the room was clean and neat while the soundproofing was sufficient to have a peaceful sleep the hotel facilities fully meet the standards of a threestar accommodation with all the amenities we needed for a comfortable staycompared to its price the hotel offers very good value for money and i would choose it again without hesitation it is ideal for those looking for a comfortable and economical option for their stay in thessaloniki overall i was very pleased and will definitely recommend it to friends and acquaintances,5/5
148, the location of the hotel is very good the hotel has students with the effect of making noise and you cant sleep the tv and the aircondition are not working my room is 402 and it is separated from the next door by an internal door and what you say can be heard breakfast is served and poor old hotel but relatively clean,2/5
149, we went for three days and all three were awful first of all the area is miserable the rooms were never cleaned once by a cleaner the security guards were rude and told us to shut up at breakfast we found a hair and when we went to tell them they just shook their heads at us and the breakfast was poor the elevators very old and we were flooded as water from the rain came up to our beds and when we informed the reception they never came plus the railings from the balcony are ready to fall on the seventh floor unacceptable hotel i do not recommend it,2/5
150, averagethere is hot water in the rooms it is clean but when you open the window you look at the wall or at another windowthe breakfast is not bad but there is no selfservice you have to ask the staff to add an egg or feta deli small cups for coffee or tea and glasses for water were offered it would be better if they had bigger ones so that the guests would not get up every hour to get more coffee or tea and create a crowd guests bring bottles and pour drinking water from the vending machine which is very ugly better provide bigger glasses,3/5
151, beautiful initially the place was disgusting to say the least cholera collages in the toilets the faucet was broken and the toilet was flooding the sink had scale and was clogged the tub rusty and dirty with hair the sheets also had hair on them sad its not worth anything i cry the money i gave,1/5
152, it depends on what you mean by downtown but the hotel is not in the city centerit is close to jorgos shop with leather jackets but not to the centerthe rooms are decent clean the internet in the rooms is weak or nonexistent the bathroom is old but clean as for the breakfast it is very bad greek hotels are known for their poor breakfast but this is the first time that you cant take what you want to eat yourself but you explain to the woman who works at breakfast whether you want one or two slices of bread an egg or a fried egg and how much you want she pours you cant even take flakes or a box of marmalade by yourself you have to ask her and she adds to you very uncomfortable especially for elderly people who do not know english and children who are confused,3/5
153, the hotel is very old we had problems with the room doors and the air conditioning almost did not cool parking is required but an additional fee of 10 eur per day is required elevators are very small and old bathroom toilet old and dirty the hotel was generally very neglected the beds and pillows were clean the only good thing was that i dont think i would choose it again,2/5
154, my name is dimitrios balaroutsos and i am a tourist bus driver from patras i stayed in vergina for one night during my stay i needed medical help for some minor problem all the staff were interested in helping me thank you in particular the receptionist mrs kiki for her help,5/5
155, shit soundproofing shit bathrooms smell of rust the floor creaks nice location the bars swing on the balcony,1/5
156, the vergina hotel in thessaloniki offers good value for money and is a solid choice for travelers looking for simple but tidy accommodation the rooms are simple but clean and functionalthe breakfast buffet stands out but in a strange way instead of usual selfservice the food is presented behind a glass panel and guests have to tell the staff what they want this unusual approach may seem inconvenient to some guests as it limits the flexibility and independence expected at a buffetdespite this quirky concept the hotel overall offers reasonable accommodation for the price although the breakfast experience can take some getting used to,4/5
157, close to aristotelous square and the port the breakfast was good the service was at the level the staff is polite the rooms are airconditioned and clean only the elevators are small for such a big hotel,5/5
158, shower and toilet were fine the size of the room was ideal when the weather is hot the corridors and the elevator get hot as hell they probably have no ventilation the location is very nice walking distance to everywhere the breakfast is very inadequate you dont buy it yourself the staff gives it to you but there is very little anyway,4/5
159, its a shame that thessaloniki has such hotels with old rooms very dirty stingy breakfasts and asking 75 a night for a double room,1/5
160, fairly clean hotel its definitely showing its age but the service at the front desk room service and the staff serving the free breakfast is worth mentioning above monastiriou between demokratia square and the train station with easy access to transport it is recommended for a quiet stay in thessaloniki,4/5
161, the hotel is in a bad conditiondirty pet hair everywhere the air conditioner in the room broke and when i asked to change the room they told me that this is not possibleof course i left the hotel in the middle of the night this hotel should be locked down,1/5
162, the rooms were very small and quite dirty but very kind staff with good service as well as its location,3/5
163, very small room and bathroom and the food very average although the stuff is good,1/5
164, the location of the hotel is ideal for walking around the citythe room and bathroom were cleanthe air conditioner worked and their breakfast was richthe only downside is the old elevators,5/5
165, unacceptable for a 3 star hotelit needs a complete renovation the breakfast average,1/5
166, untended and unkempt bed with worn mattress bathroom and radiator rusty curtain dirty walls unpainted it urgently needs renovation to be considered at least 2 stars even the lamp in the room was burnt out and not replaced while there were no batteries in the ac control and the hair dryer in the bathroom was never dusted breakfast mediocre served it has much better options in the area just as economically unfortunately i didnt have the right to choose because i visited it organized for just two nights,1/5
167, i admit that reading the reviews here i was wary finally everything is fine the room the breakfast etc ok its not 5 star but for a decent stay it was fine,5/5
168, the word honest we use is the right one for this hotel services and prices very good,5/5
169, the location of the hotel is not in a safe place there are chinese shops on the back street and there is an afghan market on the left i would not recommend it if you are a woman alone the room was clean but dont compare it to hotels in turkey in terms of quality and service even the elevator is very old and you feel like you will always stay in it there are too many groups coming and there are too many queues in the elevator you can suddenly find yourself going up 9 floors wifi is slow and sometimes even disconnects the view of the hotel is not nice,3/5
170, it was a hotel we chose for its location the positive aspect is that it has a parking lot as for the negatives the hotel is old and smells also although it was written that the breakfast we paid for ends at 1000 the door of the breakfast room was closed at 930 when we told the authorized friends no one was helpful including at the reception if you have breakfast at 930 if it ends you need to write the time accordingly as a result i would not recommend it and would not stay there again,1/5
171, starting with the positives the staff were kind and helpful while at the same time the breakfast was quite richhowever the rooms and especially the bathroom need immediate renovation and modernization,2/5
172, the rooms need renovation breakfast is the same every day but the price is in proportion to the quality,4/5
173, it had very kind staff and the rooms were clean and neat the area was not the best but it was close to several shops one negative was that it was a 30 minute walk from the white tower i would go again without a second thought a also if the hotel owners see this i want to say hi to the boss  he will definitely prefer you to go,5/5
174, the room for 2 people is nice in rooms for 3 people 2 normal separate beds and 1 small folding iron bed are provided for 4 people 2 separate rooms and 4 normal beds are provided the rooms were generally clean unfortunately you can hear whatever is happening in the other room same thing in the room above you the elevator is really a problem it fits a maximum of 2 people but unfortunately this is not the only problem my room was on the 8th floor you dont have any problems when you want to go to the 8th floor from the bottom floor but when you want to go down from the 8th floor the elevator never comes you have to go to the 7th floor and get off from there at least it was like that during my stay the bed was very comfortable the bathroom was also good our table was moving but thats okay the view from the 8th floor was good i think the breakfast was sufficient and nice the breakfast area is the same way i think you can find better hotels for this price,3/5
175, hotel close to the center very clean good food still served as during the pandemic clean rooms functional ac tv in the room fridge,5/5
176, 1st unfortunately the photos do not represent the rooms they are something different from what you see on the site with this disgrace that you see up close and the bonus up close is the bad smell of the rooms2nd the elevators are tragically extremely dangerous for the physical integrity of the customer3rd the only good thing i have to say is that the gentleman at the reception was relaxedand4th if i were asked how i would describe this hotel i would answerall that glitters is not gold unfortunately,1/5
177, its a bit old hotel the rooms are modern but the elevator is very small in the city center,3/5
178, honest hotel comfortable stay without anything special the problem is the two small elevators where two people can fit without a lot of luggage resulting in a wait on the downside there is no parking for vehicles,4/5
179, the hotel is in a good location in terms of location within walking distance to many places the rooms are small the service quality is not very good but it is okay we didnt buy any food i cant say anything but the breakfast is poor,3/5
180, great hotel you can visit very kind staff,5/5
181, excellent hotel spotlessly clean room with gelatin towels renovated plenty of hot water the elevators worked normally the staff very helpful there were at least 3 security guards during the night of which they were all professionals and checked the corridors the helpful cleaners asked us if we wanted an extra tv smart tv many sockets and it was quiet during the night the breakfast had variety and people who served you in addition the whole hotel decorated for christmas and close to the city center i honestly do not understand why there is a storm of bad comments that do not respond to the hotels services i am really sorry for all these slanders,5/5
182, i give three stars only because of the location in the city center the hotel was basically for one night only we were a group of several dozen people and there was no room without major or minor defects our room was relatively functional there was only no hot water in the sink there was a tv fridge and air conditioning towels and cups were packed in disposable plastic bags the bedding is clean we only stayed one night so no one made a problem of it,3/5
183, the rooms are small and the furniture is old but clean,3/5
184, one of the worst ive stayed the smell reminds me of other situations,1/5
185, rooms are absolutely not as expectedfreely hanging unused cables for air conditioning contaminated with germs bathrooms not cleaned enough  strong unpleasant smell joints moldy nevertheless the staff is very courteous and nice and the location is also good i also include cleaning etc as part of the service thats my rating accordingly,1/5
186, the hotel is located in the city center near a busy area new rooms good standard meals in the restaurant are good and plentiful waiters serve what the guest wants although monotonous the same dishes to choose from every day the advantage of the hotel is the attention to cleanliness daily highquality cleaning it would only be worth refreshing the ventilation grille in the bathroom,4/5
187, i arrived in thessaloniki in the morning k went to the hotel k asked if i could stay until noon k if the price would be less which logic says he told me that he will ask but i will have to pay the full amount for one day then i told him that if it is not possible i will stay to see the city i slept for 2 hours k when i woke up k asked for coffee they told me they dont take anything to the room k as for coffee i will have to go across the street when i went down to go to the job i wanted i told the lady at the reception desk that since my cell phone wasnt charged if my wife picks me up tell her ill be back and ill call her she will not leave she asked mehad she stayed for 3 hours i paid 55 euros without a receipt and she wanted to leave because thats what the employee told her in the morning to room on the 7th floor undescribed floor from 630 am to 600 pm on the same day they were flawed in my eyes for 55 euros which probably make it much easier than me thats why they say sins of parents teaching children from outside me kla from the plague go to see,2/5
188, sleepless night in this hoteltransparent curtain facing the lit boulevardincessant traffic on the boulevardthe fridges in the rooms work and resonate all nightin the room which was too hot it was impossible to open the window due to the noise from the streetcramped bathrooma nightmare,1/5
189, faucets that do not close rusty bathtubs too much noise from the elevator for crying out loud one of the two is broken and the voices and curses of the handyman and assistant could be heard in the rooms it was fixed the other day 3 people with the forced to go up 8 floors and make stops in between to pick up people breakfast average to bad coffee good for the money you pay very mediocre wifi we got it from the hotel across the street the one they gave us didnt work and when we connected it was literally crawling a big fraud the wifi 10 in addition to the parkingunacceptable,3/5
190, december 2023  accommodation as part of a school tripaverage hotelbreakfast small variety no fresh ingredients indicative stale cakes fried eggs soaked from frying oil and tasteless drinksrooms most renovated but with damagecleanliness insufficient cleanliness in room and bathroom indicative hairs were found in both the cleaning lady enters the rooms early in the morning with her own card before the customer has time to open the door for her i dont blame her its probably hotel policystaff the people at the reception noble the security guards who are supposed to control the area at night after 3 they leave their post are rude and distinguished by irony falsehood and disrespect towards the customerlocation convenient 1520 minutes from the center and on a main road but with no parking spacein general the area offers much better accommodation options and i do not recommend this particular hotel it is necessary in my opinion to change its operating policy and to emphasize the requirements of customers who choose a 3star hotel in the center of thessaloniki,3/5
191, all the staff are very kind and willing to serve you 24 hours a dayon schooluniversity trips there is always extra security guarding to maintain order and the safety of the children and the dance rooms clean,5/5
192, when there is a bus full of passengers the elevators are inadequate two small elevators are not enough for the luggage the breakfast is very mediocre the time it provides ends when some people take it because they try to provide it themselves,3/5
193, the elevators are small very old and inadequate for two people there are many deficiencies in the rooms it is not a place to be recommended,3/5
194, miserable rooms clean linens placed on old dirty mattresses with a dubious smell the rooms smell of mold the air conditioning stinksi had the room on the 1st floor i couldnt sleep all night because of the noise coming from the street and from the neighboring rooms zero soundproofing one of the childrens beds was creaking terriblythe white of the towels is grayone of the tables in the room was not cleaned it had food scraps yogurt ice cream on ita plus is parking at the location for 10,2/5
195, i think its a pretty old hotel especially the rooms need to be renovated the rooms say thats enough im tired the air conditioner was outdated before christ it didnt cool it down even though i set it to 18 degrees i couldnt sleep until the morning there is no problem with the cleanliness its a very clean hotelthe staff is very attentive and relevantbut do not wait in the lobby for a long time they do not operate the air conditioner it is like a saunai dont understand why they are willing to lose customers just to save moneyit would be great if they played soft music in the breakfast room or the lobby because it seems like the hotel has no soul,4/5
196, miserable if you want to stay in rooms with broken locks broken windows wind and cold coming in from everywhere being electrocuted every time you turn on a switch or put your cell phone to charge if you want to live in 7  8th floor and you have to go up and down the stairs because the elevator is for rubbish and there is always a queue if you want to eat a mediocre to miserable breakfast at the buffet without much variety this hotel is the place to be,1/5
197, hotel in a good location it looks a bit outdated it needs renovation breakfast good pleasant and helpful staff hygiene could be better all in all 3it has a garage at a price of 10 per day which is an advantage if you come by cari recommend it for a short vacation,3/5
198, a good hotel in thessaloniki for a short nights stay before heading to istanbulit was nice that it was close to the bus company going to istanbul that i planned to use the building was old but the interior rooms had been renovated and were clean the room size was small but it wasnt inconvenient because i knew in advance through photos and made a reservation it was possible to store luggage after checkoutthe hotel underground parking fee had to be paid separately at 10 euros per day the elevator is so small that its almost full even if you ride alone while i was sleeping in the morning i opened the door briefly to see if an employee came to clean it but closed it immediately after confirming that there was someone inside,3/5
199, very good breakfast old facilities,3/5
